DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,GRADE,AMERICAN INDIAN OR ALASKAN NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK (NOT HISPANIC),HISPANIC,WHITE (NOT HISPANIC),TOTAL,TOTAL Minority,% Minority
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,7TH,2,3,2,57,33,97,64,66%
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,8TH,3,2,2,52,48,107,59,55%
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,9TH,1,6,5,58,38,108,70,65%
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,10TH,1,2,5,53,38,99,61,62%
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,11TH,2,2,1,42,29,76,47,62%
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,12TH,1,2,1,17,13,34,21,62%
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,SCHOOL TOTAL,10,17,16,279,199,521,322,62%
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,9TH,3,0,2,32,16,53,37,70%
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,10TH,1,1,0,16,22,40,18,45%
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,11TH,2,2,1,16,14,35,21,60%
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,12TH,1,1,1,11,6,20,14,70%
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,SCHOOL TOTAL,7,4,4,75,58,148,90,61%
0010,MAPLETON 1,0221,WELBY NEW TECHNOLOGY,9TH,0,0,0,45,17,62,45,73%
0010,MAPLETON 1,0221,WELBY NEW TECHNOLOGY,10TH,0,1,0,47,18,66,48,73%
0010,MAPLETON 1,0221,WELBY NEW TECHNOLOGY,11TH,1,2,0,30,3,36,33,92%
0010,MAPLETON 1,0221,WELBY NEW TECHNOLOGY,12TH,2,3,1,28,16,50,34,68%
0010,MAPLETON 1,0221,WELBY NEW TECHNOLOGY,SCHOOL TOTAL,3,6,1,150,54,214,160,75%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,KINDERGARTEN,0,0,2,15,11,28,17,61%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,1ST,0,1,0,20,8,29,21,72%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,2ND,1,1,2,23,1,28,27,96%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,3RD,1,0,0,21,7,29,22,76%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,4TH,0,0,1,24,4,29,25,86%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,5TH,0,1,0,21,9,31,22,71%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,6TH,0,0,0,22,6,28,22,79%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,7TH,0,1,0,42,4,47,43,91%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,8TH,1,1,1,37,4,44,40,91%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,9TH,0,0,0,34,11,45,34,76%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,10TH,0,1,0,25,5,31,26,84%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,11TH,0,0,0,26,1,27,26,96%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,12TH,1,0,0,15,3,19,16,84%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,SCHOOL TOTAL,4,6,6,325,74,415,341,82%
0010,MAPLETON 1,0309,SKYVIEW ACADEMY HIGH SCHOOL,9TH,0,1,4,51,22,78,56,72%
0010,MAPLETON 1,0309,SKYVIEW ACADEMY HIGH SCHOOL,10TH,2,3,2,40,17,64,47,73%
0010,MAPLETON 1,0309,SKYVIEW ACADEMY HIGH SCHOOL,11TH,0,5,1,42,22,70,48,69%
0010,MAPLETON 1,0309,SKYVIEW ACADEMY HIGH SCHOOL,12TH,0,4,3,34,10,51,41,80%
0010,MAPLETON 1,0309,SKYVIEW ACADEMY HIGH SCHOOL,SCHOOL TOTAL,2,13,10,167,71,263,192,73%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,KINDERGARTEN,0,0,0,38,10,48,38,79%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,1ST,0,1,1,31,9,42,33,79%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,2ND,0,0,0,38,5,43,38,88%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,3RD,0,1,2,34,6,43,37,86%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,4TH,1,1,0,37,7,46,39,85%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,5TH,0,0,0,39,13,52,39,75%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,6TH,1,0,1,30,10,42,32,76%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,7TH,1,0,0,28,9,38,29,76%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,8TH,1,0,0,18,9,28,19,68%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,SCHOOL TOTAL,4,3,4,293,78,382,304,80%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,HALF DAY K,0,4,0,32,23,59,36,61%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,1ST,0,0,0,24,25,49,24,49%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,2ND,0,1,0,36,15,52,37,71%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,3RD,0,4,0,32,14,50,36,72%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,4TH,0,1,1,28,13,43,30,70%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,5TH,0,3,0,19,11,33,22,67%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,6TH,1,3,1,30,13,48,35,73%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,7TH,0,3,0,33,8,44,36,82%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,8TH,1,4,2,24,6,37,31,84%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,SCHOOL TOTAL,2,23,4,258,128,415,287,69%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,KINDERGARTEN,1,1,0,31,21,54,33,61%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,1ST,0,3,1,36,16,56,40,71%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,2ND,0,3,0,39,10,52,42,81%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,3RD,0,3,0,41,12,56,44,79%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,4TH,0,1,4,34,15,54,39,72%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,5TH,0,4,2,40,14,60,46,77%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,6TH,0,2,1,45,14,62,48,77%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,7TH,0,1,1,40,10,52,42,81%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,8TH,1,2,4,34,15,56,41,73%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,9TH,0,1,0,41,9,51,42,82%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,10TH,0,0,0,33,10,43,33,77%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,11TH,0,2,0,35,16,53,37,70%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,12TH,0,0,0,1,8,9,1,11%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,SCHOOL TOTAL,2,23,13,450,170,658,488,74%
0010,MAPLETON 1,0504,HIGHLAND MONTESSORI SCHOOL,PK,1,4,2,25,13,45,32,71%
0010,MAPLETON 1,0504,HIGHLAND MONTESSORI SCHOOL,HALF DAY K,1,2,2,28,16,49,33,67%
0010,MAPLETON 1,0504,HIGHLAND MONTESSORI SCHOOL,1ST,0,3,0,22,15,40,25,63%
0010,MAPLETON 1,0504,HIGHLAND MONTESSORI SCHOOL,2ND,1,2,0,23,11,37,26,70%
